city,arrondissement,price,area,rooms,bathrooms,url
casablanca,Bernoussi,250000.0,60.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7581280/appartement-de-60-m%C2%B2-en-vente-r%C3%A9sidence-jnan-sbil
casablanca,Aïn Sebaâ,1176000.0,96.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7782822/appartement-81-m%C2%B2-3-chambres-ain-sbaa-casablanca-%C3%A0-vendre
casablanca,Belvédère,1660000.0,148.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7599031/appartement-de-148m%C2%B2-en-vente-avec-place-de-parking-titr%C3%A9e-de-14m2-chraibi-immobilier
casablanca,Aïn Sebaâ,802500.0,71.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7782821/appartement-%C3%A0-vendre-81-m%C2%B2-3-chambres-ain-sbaa-casablanca
casablanca,Riviera,1017000.0,42.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7503677/studio-au-rdc-de-46m%C2%B2-en-vente-blue-skies
casablanca,,,,,,https://immoexpo.avito.ma/ar/reservez-ticket/?utm_campaign=IMMO_EXPO_2024&utm_source=Mubawab&utm_medium=Display&utm_content=FR_native_ad&utm_term=none
casablanca,Aïn Sebaâ,894400.0,71.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7885305/appartement-%C3%A0-vendre-71-m%C2%B2-2-chambres-ain-sbaa-casablanca
casablanca,Ahl Loghlam (Hay Assalam),250000.0,67.0,3.0,2.0,https://www.mubawab.ma/fr/pa/6816812/appartement-de-67m%C2%B2-en-vente-ahl-loghlam-social-tit-mellil
casablanca,,,,,,https://www.mubawab.ma/fr/p/4084/ana%C3%A9-garden-sea
casablanca,Sidi Maarouf,1680000.0,125.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7941896/vend-appartement-%C3%A0-sidi-maarouf-2-chambres-agr%C3%A9ables
casablanca,Sidi Maarouf,1458000.0,118.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7941893/vente-d-un-bel-appartement-%C3%A0-sidi-maarouf-2-belles-chambres
casablanca,Sidi Maarouf,1602000.0,130.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7941892/superbe-appartement-%C3%A0-vendre-%C3%A0-sidi-maarouf-superficie-130-m%C2%B2
casablanca,Sidi Maarouf,1421000.0,105.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7941885/bel-appartement-%C3%A0-vendre-%C3%A0-sidi-maarouf-surface-totale-105-m%C2%B2
casablanca,Sidi Maarouf,1189000.0,88.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7941884/vend-appartement-%C3%A0-sidi-maarouf-1-chambre
casablanca,Sidi Maarouf,1073140.0,95.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7942199/appartement-%C3%A0-l-achat-%C3%A0-sidi-maarouf-surface-de-95-m%C2%B2
casablanca,Sidi Maarouf,1394500.0,116.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7942198/appartement-%C3%A0-vendre-%C3%A0-sidi-maarouf-surface-totale-116-m%C2%B2
casablanca,Sidi Maarouf,1062700.0,112.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7942194/vente-d-un-bel-appartement-%C3%A0-sidi-maarouf-2-chambres-agr%C3%A9ables
casablanca,Sidi Maarouf,1062700.0,112.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7942193/appartement-%C3%A0-vendre-%C3%A0-sidi-maarouf-2-chambres-agr%C3%A9ables
casablanca,Oulfa,1300000.0,101.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7938270/appartement-%C3%A0-l-achat-%C3%A0-route-d-azzemour-3-belles-chambres
casablanca,Oulfa,1300000.0,127.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7938269/appartement-%C3%A0-vendre-rez-de-jardin-surface-de-127-m%C2%B2
casablanca,Oulfa,1110000.0,100.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7938264/appartement-%C3%A0-l-achat-rez-de-jardin-a-vendre-superficie-100-m%C2%B2
casablanca,Oulfa,1300000.0,97.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7937018/vente-d-un-bel-appartement-%C3%A0-route-d-azzemour-surface-totale-97-m%C2%B2
casablanca,Oulfa,1110000.0,81.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7937017/superbe-appartement-%C3%A0-vendre-superficie-81-m%C2%B2
casablanca,Californie,1573020.0,102.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7902993/superbe-appartement-%C3%A0-vendre-%C3%A0-californie-superficie-102-m%C2%B2
